subsample,block,model,K,n_subsample,n_test,overlap_at_k,jaccard,pr_auc,roc_auc,rate_white_pct,rate_bp_pct,gap_pp,ratio,bench_gap_pp,D,D_ci_lo,D_ci_hi,verdict,zero_sum_value,full_sample_gap_pp,full_sample_ratio,full_sample_D,full_sample_verdict,verdict_matches_full_sample,row_type,group,sub_n,sub_pct,full_pct,diff_pp
K1_TP_ESCOLA,B3,logistic_regression,0.1,47340.0,9485.0,0.5063291139240507,0.3389830508474576,0.47699582576333427,0.875022920827631,18.29644879053011,3.9423805913570886,14.354068199173021,4.640964606674849,10.932111032508368,3.4219571666646527,2.075393502540369,4.900781054597342,amplification,6.650235917504688e-14,14.547196804059707,4.138423014209178,3.521825705808215,amplification,True,metrics,,,,,
K1_TP_ESCOLA,B3,gradient_boosting,0.1,47340.0,9485.0,0.5052742616033755,0.33803810868031053,0.49017629684726216,0.8796586118800812,17.91044776119403,4.264594389689159,13.64585337150487,4.199800995024875,10.932111032508368,2.713742338996502,1.4215429252264233,4.232244001424996,amplification,-2.1316282072803006e-14,14.386693083956022,4.064507268024106,3.36132198570453,amplification,True,metrics,,,,,
K1_TP_ESCOLA,B4,logistic_regression,0.1,47340.0,9485.0,0.5063291139240507,0.3389830508474576,0.47912556948451246,0.8752912983888945,19.48018528049408,3.184230477634572,16.29595480285951,6.117705805945641,10.932111032508368,5.36384377035114,3.9687490367045313,6.853849445746618,amplification,1.865174681370263e-14,16.767837528627876,5.378429299501192,5.742466430376384,amplification,True,metrics,,,,,
K1_TP_ESCOLA,B4,gradient_boosting,0.1,47340.0,9485.0,0.509493670886076,0.34182590233545646,0.4926111008187103,0.8794481850905638,19.454451878538343,3.2031842304776346,16.251267648060708,6.0734726692999,10.932111032508368,5.319156615552339,3.976060571238599,6.83078254319368,amplification,2.930988785010413e-14,16.14297786862367,5.007957374103368,5.117606770372179,amplification,True,metrics,,,,,
K2_school_register,B3,logistic_regression,0.1,36958.0,7384.0,0.5447154471544715,0.3743016759776536,0.5491254045275786,0.90100571935602,18.03948264125255,4.279600570613409,13.759882070639142,4.215225777172679,11.501948495245049,2.257933575394093,0.6832175468478844,3.835388486803025,inconclusive,1.0658141036401503e-14,14.547196804059707,4.138423014209178,3.521825705808215,amplification,False,metrics,,,,,
K2_school_register,B3,gradient_boosting,0.1,36958.0,7384.0,0.537940379403794,0.36793327154772937,0.5582754928726562,0.9025883694738241,18.005445881552077,4.279600570613409,13.725845310938668,4.207272520989336,11.501948495245049,2.223896815693619,0.7039713922895967,3.7535942526916215,inconclusive,3.2862601528904634e-14,14.386693083956022,4.064507268024106,3.36132198570453,amplification,False,metrics,,,,,
K2_school_register,B4,logistic_regression,0.1,36958.0,7384.0,0.5460704607046071,0.37558247903075487,0.5492099805855634,0.9008825733758391,19.469026548672566,3.3285782215882076,16.140448327084357,5.849051833122629,11.501948495245049,4.638499831839308,3.089075883361544,6.131884513258154,amplification,1.2434497875801753e-14,16.767837528627876,5.378429299501192,5.742466430376384,amplification,True,metrics,,,,,
K2_school_register,B4,gradient_boosting,0.1,36958.0,7384.0,0.5474254742547425,0.376865671641791,0.5613168477246262,0.902430869027318,18.85636487406399,3.6852116024726578,15.171153271591331,5.116765849052461,11.501948495245049,3.669204776346282,2.1174235030704303,5.136551660291448,amplification,1.1546319456101628e-14,16.14297786862367,5.007957374103368,5.117606770372179,amplification,True,metrics,,,,,
K1_TP_ESCOLA,,,,,,,,,,,,,,,,,,,,,,,,,racial_composition,White,19201.0,40.55978031263202,35.945559780108006,4.6142205325240155
K1_TP_ESCOLA,,,,,,,,,,,,,,,,,,,,,,,,,racial_composition,Black,5314.0,11.22517955217575,13.259713107144876,-2.0345335549691264
K1_TP_ESCOLA,,,,,,,,,,,,,,,,,,,,,,,,,racial_composition,Pardo,21376.0,45.15420363329108,47.85476150114224,-2.7005578678511597
K1_TP_ESCOLA,,,,,,,,,,,,,,,,,,,,,,,,,racial_composition,Asian,1147.0,2.422898183354457,2.3111261795784594,0.1117720037759975
K1_TP_ESCOLA,,,,,,,,,,,,,,,,,,,,,,,,,racial_composition,Indigenous,302.0,0.6379383185466836,0.6288394320264129,0.009098886520270688
K2_school_register,,,,,,,,,,,,,,,,,,,,,,,,,racial_composition,White,14481.0,39.182315060338766,35.945559780108006,3.23675528023076
K2_school_register,,,,,,,,,,,,,,,,,,,,,,,,,racial_composition,Black,4160.0,11.256020347421398,13.259713107144876,-2.003692759723478
K2_school_register,,,,,,,,,,,,,,,,,,,,,,,,,racial_composition,Pardo,17207.0,46.55825531684615,47.85476150114224,-1.296506184296092
K2_school_register,,,,,,,,,,,,,,,,,,,,,,,,,racial_composition,Asian,877.0,2.3729639049732127,2.3111261795784594,0.061837725394753296
K2_school_register,,,,,,,,,,,,,,,,,,,,,,,,,racial_composition,Indigenous,233.0,0.6304453704204773,0.6288394320264129,0.0016059383940644212
