subsample,block,model,D,D_ci_lo,D_ci_hi,verdict,overlap_at_k,gap_pp,ratio,bench_gap_pp,n_subsample,n_test
K1_TP_ESCOLA,B3,logistic_regression,3.4219571666646527,2.075393502540369,4.900781054597342,amplification,0.5063291139240507,14.35406819917302,4.640964606674849,10.932111032508368,47340.0,9485.0
K1_TP_ESCOLA,B3,gradient_boosting,2.713742338996502,1.4215429252264231,4.232244001424996,amplification,0.5052742616033755,13.64585337150487,4.199800995024875,10.932111032508368,47340.0,9485.0
K1_TP_ESCOLA,B4,logistic_regression,5.36384377035114,3.9687490367045313,6.853849445746618,amplification,0.5063291139240507,16.29595480285951,6.117705805945641,10.932111032508368,47340.0,9485.0
K1_TP_ESCOLA,B4,gradient_boosting,5.319156615552339,3.976060571238599,6.83078254319368,amplification,0.509493670886076,16.251267648060708,6.0734726692999,10.932111032508368,47340.0,9485.0
K2_school_register,B3,logistic_regression,2.257933575394093,0.6832175468478844,3.835388486803025,inconclusive,0.5447154471544715,13.759882070639142,4.215225777172679,11.501948495245047,36958.0,7384.0
K2_school_register,B3,gradient_boosting,2.223896815693619,0.7039713922895967,3.7535942526916215,inconclusive,0.537940379403794,13.725845310938668,4.207272520989336,11.501948495245047,36958.0,7384.0
K2_school_register,B4,logistic_regression,4.638499831839308,3.089075883361544,6.131884513258154,amplification,0.5460704607046071,16.140448327084357,5.849051833122629,11.501948495245047,36958.0,7384.0
K2_school_register,B4,gradient_boosting,3.669204776346282,2.1174235030704303,5.136551660291448,amplification,0.5474254742547425,15.171153271591333,5.116765849052461,11.501948495245047,36958.0,7384.0
L_TP_ST_CONCLUSAO2_no_school_features,B3,logistic_regression,3.2553826511998327,1.8258853441349863,4.781671886833898,amplification,0.4947257383966245,14.187493683708201,4.564438889297356,10.932111032508368,47340.0,9485.0
L_TP_ST_CONCLUSAO2_no_school_features,B3,gradient_boosting,3.243208547469445,1.8849870572108764,4.686783625206165,amplification,0.48523206751054854,14.175319579977813,4.527782363394479,10.932111032508368,47340.0,9485.0
L_TP_ST_CONCLUSAO2_no_school_features,B4,logistic_regression,5.688827957673139,4.330089702073928,7.184368801986246,amplification,0.4989451476793249,16.620938990181507,6.515224786930668,10.932111032508368,47340.0,9485.0
L_TP_ST_CONCLUSAO2_no_school_features,B4,gradient_boosting,6.199340413303018,4.841540822071964,7.75945083086307,amplification,0.4989451476793249,17.131451445811386,7.14867604272795,10.932111032508368,47340.0,9485.0
