block,model,K,k_seats,n_test_e2e,n_completers_test,overlap_at_k,n_a,n_b,rate_a_pct,rate_b_pct,gap_pp,ratio,bench_gap_pp,bench_rate_a_pct,bench_rate_b_pct,n_model_positive_a,n_model_positive_b,n_bench_positive_a,n_bench_positive_b,D
B3,logistic_regression,0.1,2477,34984,24776,0.43883730318934194,12258,21701,14.137705987926253,3.1334961522510483,11.004209835675205,4.511799377117465,8.178311277805058,12.334801762114537,4.1564904843094785,1733,680,1512,902,2.825898557870147
B3,gradient_boosting,0.1,2477,34984,24776,0.44771901493742433,12258,21701,14.105074237232829,3.1334961522510483,10.97157808498178,4.501385529738083,8.178311277805058,12.334801762114537,4.1564904843094785,1729,680,1512,902,2.793266807176723
B4,logistic_regression,0.1,2477,34984,24776,0.43681873233750507,12258,21701,15.141132321749062,2.566701995299756,12.574430326449306,5.899061265965464,8.178311277805058,12.334801762114537,4.1564904843094785,1856,557,1512,902,4.396119048644248
B4,gradient_boosting,0.1,2477,34984,24776,0.4461041582559548,12258,21701,14.790341001794745,2.7372010506428275,12.053139951151918,5.4034543784502995,8.178311277805058,12.334801762114537,4.1564904843094785,1813,594,1512,902,3.87482867334686
