block,model,K,n_features,best_params,val_overlap_at_k,overlap_at_k,jaccard,pr_auc,roc_auc,rate_white_pct,rate_bp_pct,gap_pp,ratio,bench_gap_pp,zero_sum_value,white_p_g,white_q_g,white_net_realloc,white_fpr,white_fnr,bp_p_g,bp_q_g,bp_net_realloc,bp_fpr,bp_fnr
B1,logistic_regression,0.1,42,{'C': 1},0.20952765442067017,0.21800565199838515,0.12233801540552787,0.1806936141830849,0.6922032128290256,13.656783468104223,7.930009904258831,5.726773563845392,1.722164742917889,11.025371098251492,5.551115123125783e-14,0.16981132075471697,0.13656783468104222,-0.03324348607367475,0.11336580086580086,0.75,0.05955760977220205,0.0793000990425883,0.019742489270386257,0.07365021414027943,0.8314855875831486
B1,gradient_boosting,0.1,42,"{'max_depth': None, 'learning_rate': 0.03, 'max_iter': 300, 'min_samples_leaf': 200}",0.21840936616875253,0.21396851029471134,0.11980108499095841,0.17978207640357535,0.6999363786732101,14.330637915543576,7.507428194123474,6.823209721420103,1.908861136595492,11.025371098251492,-3.064215547965432e-14,0.16981132075471697,0.14330637915543576,-0.026504941599281212,0.12188852813852814,0.751984126984127,0.05955760977220205,0.07507428194123474,0.015516672169032686,0.06950782840693674,0.8370288248337029
B2,logistic_regression,0.1,43,{'C': 0.1},0.25353249899071456,0.25756964069438837,0.14782205746061167,0.21843755259673553,0.730531572560928,15.049415992812218,7.0452294486629246,8.004186544149293,2.1361143881081635,11.025371098251492,-3.019806626980426e-14,0.16981132075471697,0.15049415992812218,-0.019317160826594792,0.12053571428571429,0.703042328042328,0.05955760977220205,0.07045229448662925,0.0108946847144272,0.06269746542161062,0.8070953436807096
B2,gradient_boosting,0.1,43,"{'max_depth': 3, 'learning_rate': 0.1, 'max_iter': 300, 'min_samples_leaf': 50}",0.26362535324989905,0.2712959224868793,0.1569360112097151,0.22628146535001914,0.7416258548555676,14.532794249775382,7.362165731264443,7.170628518510939,1.9739835776937056,11.025371098251492,1.4033219031261979e-13,0.16981132075471697,0.14532794249775383,-0.024483378256963145,0.11268939393939394,0.6951058201058201,0.05955760977220205,0.07362165731264443,0.014064047540442381,0.06445271361370498,0.7815964523281597
B3,logistic_regression,0.1,72,{'C': 0.1},0.4884941461445297,0.49132014533710133,0.32566229595932566,0.47219483147665786,0.8686669048143951,19.18238993710692,4.63519313304721,14.547196804059709,4.138423014209178,11.025371098251492,2.020605904817785e-13,0.16981132075471697,0.1918238993710692,0.022012578616352224,0.11363636363636363,0.42592592592592593,0.05955760977220205,0.0463519313304721,-0.01320567844172995,0.027592501579723372,0.6574279379157428
B3,gradient_boosting,0.1,72,"{'max_depth': 8, 'learning_rate': 0.03, 'max_iter': 600, 'min_samples_leaf': 20}",0.49656842955187724,0.4977795720629794,0.3313625369524321,0.48566312907356574,0.8714139136968493,19.081311769991018,4.694618686034995,14.386693083956022,4.064507268024106,11.025371098251492,1.7363888105137448e-13,0.16981132075471697,0.19081311769991016,0.02100179694519319,0.10984848484848485,0.41335978835978837,0.05955760977220205,0.04694618686034995,-0.012611422911852098,0.028364810784244892,0.6596452328159645
B4,logistic_regression,0.1,77,{'C': 0.1},0.4933387161889382,0.4957610012111425,0.3295759527643586,0.4751419053196917,0.8697905116506361,20.59748427672956,3.829646748101684,16.767837528627876,5.378429299501192,11.025371098251492,1.6564527527407336e-13,0.16981132075471697,0.2059748427672956,0.036163522012578636,0.12459415584415584,0.39616402116402116,0.05955760977220205,0.03829646748101684,-0.02126114229118521,0.021343818015867443,0.6940133037694013
B4,gradient_boosting,0.1,77,"{'max_depth': 8, 'learning_rate': 0.03, 'max_iter': 600, 'min_samples_leaf': 200}",0.4985870004037142,0.5010092854259185,0.334231079989227,0.49044354359146036,0.8733017332262772,20.170709793351303,4.027731924727633,16.14297786862367,5.007957374103368,11.025371098251492,-5.3734794391857577e-14,0.16981132075471697,0.20170709793351302,0.03189577717879605,0.1185064935064935,0.3915343915343915,0.05955760977220205,0.04027731924727633,-0.01928029052492572,0.022958646352594255,0.6862527716186253
B5,logistic_regression,0.1,74,{'C': 0.1},0.4884941461445297,0.49132014533710133,0.32566229595932566,0.47215890841001,0.8687632031090353,19.19362084456424,4.621987454605481,14.571633389958759,4.152676967013219,11.025371098251492,8.570921750106208e-14,0.16981132075471697,0.1919362084456424,0.022124887690925438,0.11363636363636363,0.4252645502645503,0.05955760977220205,0.04621987454605481,-0.013337735226147243,0.027522291652039597,0.6585365853658537
B5,gradient_boosting,0.1,74,"{'max_depth': 8, 'learning_rate': 0.03, 'max_iter': 600, 'min_samples_leaf': 50}",0.4957610012111425,0.5038352846184901,0.33675121424716675,0.4898566229645274,0.873432249189064,19.00269541778976,4.72763288213932,14.27506253565044,4.01949472210092,11.025371098251492,1.6919798895287386e-13,0.16981132075471697,0.19002695417789758,0.020215633423180612,0.10822510822510822,0.41005291005291006,0.05955760977220205,0.047276328821393196,-0.012281280950808854,0.02801376114582602,0.6485587583148559
B6,logistic_regression,0.1,79,{'C': 1},0.4921275736778361,0.49697214372224463,0.33064732742412034,0.4751102837604473,0.8699334835688115,20.575022461814914,3.836249587322549,16.738772874492366,5.3633169566985694,11.025371098251492,1.1501910535116622e-13,0.16981132075471697,0.20575022461814915,0.03593890386343218,0.12391774891774891,0.3941798941798942,0.05955760977220205,0.03836249587322549,-0.02119511389897656,0.021343818015867443,0.6929046563192904
B6,gradient_boosting,0.1,79,"{'max_depth': 8, 'learning_rate': 0.03, 'max_iter': 300, 'min_samples_leaf': 50}",0.49939442874444895,0.500605571255551,0.33387183629509964,0.4899931915058102,0.873590501378094,20.092093441150045,4.080554638494553,16.011538802655494,4.923863352204165,11.025371098251492,-3.9968028886505635e-15,0.16981132075471697,0.20092093441150044,0.03110961365678347,0.11837121212121213,0.3955026455026455,0.05955760977220205,0.040805546384945525,-0.018752063387256525,0.023379905918696903,0.6840354767184036
