variable,category,full_file_pct,sample_pct,abs_diff_pp
TP_COR_RACA,0,2.0254276058644547,2.016123096851433,0.009304509013021711
TP_COR_RACA,1,35.95070705183398,35.93694034061637,0.013766711217613192
TP_COR_RACA,2,12.723773156975497,12.736068927956351,0.012295770980854215
TP_COR_RACA,3,46.397088537362144,46.43461706418327,0.03752852682112717
TP_COR_RACA,4,2.2797468426476755,2.248696070301805,0.031050772345870392
TP_COR_RACA,5,0.6232568053162495,0.6275545000907722,0.004297694774522687
TP_SEXO,F,59.50261531948584,59.410128209531564,0.092487109954277
TP_SEXO,M,40.49738468051416,40.589871790468436,0.092487109954277
SG_UF_PROVA,AC,0.7584632586423498,0.71096674795272,0.04749651068962979
SG_UF_PROVA,AL,1.7629241491600576,1.757054468197854,0.005869680962203638
SG_UF_PROVA,AM,2.3187445524399477,2.3316176578822123,0.01287310544226461
SG_UF_PROVA,AP,0.8361446554001819,0.8674873777642573,0.031342722364075426
SG_UF_PROVA,BA,7.760819018635488,7.778437443267405,0.017618424631916874
SG_UF_PROVA,CE,5.789481844672141,5.899208564965875,0.10972672029373332
SG_UF_PROVA,DF,1.8811733698437207,1.9121031171647687,0.030929747321047918
SG_UF_PROVA,ES,2.0072535347685094,2.013669795443729,0.006416260675219387
SG_UF_PROVA,GO,3.336100005279509,3.3463031201087303,0.010203114829221427
SG_UF_PROVA,MA,4.280013369521847,4.207902574494497,0.07211079502735007
SG_UF_PROVA,MG,10.492778358174828,10.441741451471245,0.051036906703583185
SG_UF_PROVA,MS,1.3815630525452434,1.3507877550820138,0.0307752974632296
SG_UF_PROVA,MT,1.7295003445419201,1.7187829662376661,0.01071737830425401
SG_UF_PROVA,PA,5.487411511802057,5.516493545363996,0.029082033561938836
SG_UF_PROVA,PB,2.888538971508513,2.8340537861800623,0.05448518532845048
SG_UF_PROVA,PE,5.403488911363328,5.362916877241704,0.0405720341216238
SG_UF_PROVA,PI,2.400547498798372,2.395403494482525,0.0051440043158468285
SG_UF_PROVA,PR,4.147181713822755,4.079349580730789,0.06783213309196601
SG_UF_PROVA,RJ,6.667411162451662,6.678867752334316,0.011456589882653745
SG_UF_PROVA,RN,2.3418056037765957,2.3934408533563616,0.05163524957976584
SG_UF_PROVA,RO,1.1508740334720857,1.1864165607658226,0.03554252729373686
SG_UF_PROVA,RR,0.2542799839298818,0.26054060949820174,0.006260625568319911
SG_UF_PROVA,RS,4.287765808056295,4.3619699028983305,0.0742040948420355
SG_UF_PROVA,SC,2.172625805885612,2.1279936410427513,0.0446321648428607
SG_UF_PROVA,SE,1.5404389764347457,1.5563744130476382,0.01593543661289254
SG_UF_PROVA,SP,16.014967898035216,16.02692743625096,0.011959538215744914
SG_UF_PROVA,TO,0.9077026070371338,0.8831885067735652,0.024514100263568595
TP_PRESENCA_CN,0,27.141856475474523,27.270898448041528,0.12904197256700556
TP_PRESENCA_CN,1,72.82061779673342,72.69033938971674,0.13027840701667515
TP_PRESENCA_CN,2,0.037525727792060364,0.038762162241728695,0.0012364344496683319
TP_PRESENCA_CH,0,22.924706550575046,23.07428106002247,0.1495745094474259
TP_PRESENCA_CH,1,76.9953746400268,76.84770395521252,0.1476706848142726
TP_PRESENCA_CH,2,0.07991880939815367,0.07801498476499825,0.0019038246331554154
TP_PRESENCA_LC,0,22.924706550575046,23.07428106002247,0.1495745094474259
TP_PRESENCA_LC,1,76.9953746400268,76.84770395521252,0.1476706848142726
TP_PRESENCA_LC,2,0.07991880939815367,0.07801498476499825,0.0019038246331554154
TP_PRESENCA_MT,0,27.141856475474523,27.270898448041528,0.12904197256700556
TP_PRESENCA_MT,1,72.82061779673342,72.69033938971674,0.13027840701667515
TP_PRESENCA_MT,2,0.037525727792060364,0.038762162241728695,0.0012364344496683319
NU_NOTA_CN,mean,477.8236064668015,477.7670484920485,0.05655797475299096
NU_NOTA_CN,sd,76.09736551533705,76.22691191710425,0.12954640176720034
NU_NOTA_CH,mean,507.24783843982453,507.538493560889,0.2906551210644466
NU_NOTA_CH,sd,82.41122254074997,82.37252664687034,0.038695893879634014
NU_NOTA_LC,mean,520.5176080780087,520.592700851099,0.07509277309031859
NU_NOTA_LC,sd,64.15041107214645,64.12248870624846,0.027922365897993018
NU_NOTA_MT,mean,523.1240602802712,523.388981963982,0.2649216837107815
NU_NOTA_MT,sd,109.06295667325989,109.1906180455825,0.12766137232260633
NU_NOTA_REDACAO,mean,571.1854694503886,571.2919723408738,0.106502890485217
NU_NOTA_REDACAO,sd,188.763451866935,189.06019155248148,0.2967396855464983
