population,n,Q001_dontknow_pct,Q002_dontknow_pct,Q003_dontknow_pct,Q004_dontknow_pct,n_municipalities,n_municipalities_below_30,min_obs_per_municipality
analytic_sample,123879,8.58337571339775,2.6663114813648803,11.16250534796051,8.44856674658336,1726,877,1
training_split,74327,8.566200707683615,2.659867881119916,11.061929043281715,8.41416981715931,1723,1213,1
