block,model,K,overlap_at_k,n_population,n_a,n_b,rate_a_pct,rate_b_pct,gap_pp,ratio,bench_gap_pp,bench_rate_a_pct,bench_rate_b_pct,n_model_positive_a,n_model_positive_b,n_bench_positive_a,n_bench_positive_b,D
B3,logistic_regression,0.1,0.48668885191347755,120237,8904,15145,19.047619047619047,4.6748101683724,14.372808879246648,4.074522464352973,10.96656326371283,16.90251572327044,5.93595245955761,1696,708,1505,899,3.406245615533818
B3,gradient_boosting,0.1,0.49750415973377704,120237,8904,15145,18.81176999101527,4.813469792010565,13.998300199004706,3.908151666857699,10.96656326371283,16.90251572327044,5.93595245955761,1675,729,1505,899,3.0317369352918764
B4,logistic_regression,0.1,0.4908485856905158,120237,8904,15145,20.5188679245283,3.8098382304390888,16.709029694089214,5.385758313985808,10.96656326371283,16.90251572327044,5.93595245955761,1827,577,1505,899,5.742466430376384
B4,gradient_boosting,0.1,0.4995840266222962,120237,8904,15145,20.159478885893982,4.021129085506768,16.138349800387214,5.013387647403356,10.96656326371283,16.90251572327044,5.93595245955761,1795,609,1505,899,5.171786536674384
