block,model,K,overlap_at_k,primary_gap_pp,delta_vs_primary_gap_pp,n_a,n_b,rate_a_pct,rate_b_pct,gap_pp,ratio,bench_gap_pp,bench_rate_a_pct,bench_rate_b_pct,n_model_positive_a,n_model_positive_b,n_bench_positive_a,n_bench_positive_b,D
B2,logistic_regression,0.1,0.21800565199838515,8.004186544149293,-2.2417454869475284,8904,15145,13.679245283018867,7.916804225817102,5.762441057201765,1.7278746439643096,11.025371098251494,16.9811320754717,5.955760977220205,1218,1199,1512,902,-5.262930041049729
B2,gradient_boosting,0.1,0.21639079531691563,7.170628518510939,-0.9603690233700775,8904,15145,13.948787061994608,7.7385275668537465,6.210259495140861,1.802511775203996,11.025371098251494,16.9811320754717,5.955760977220205,1242,1172,1512,902,-4.8151116031106325
B3,logistic_regression,0.1,0.4876867178037949,14.547196804059707,-0.37055913827312104,8904,15145,18.9240790655885,4.7474413998019145,14.176637665786586,3.98616380317577,11.025371098251494,16.9811320754717,5.955760977220205,1685,719,1512,902,3.1512665675350924
B3,gradient_boosting,0.1,0.494146144529673,14.386693083956022,-0.46170264264847205,8904,15145,18.778077268643305,4.853086827335754,13.92499044130755,3.8693058535184064,11.025371098251494,16.9811320754717,5.955760977220205,1672,735,1512,902,2.899619343056056
B4,logistic_regression,0.1,0.4933387161889382,16.767837528627876,-0.24109484328935338,8904,15145,20.42902066486972,3.902277979531198,16.526742685338522,5.2351525883156,11.025371098251494,16.9811320754717,5.955760977220205,1819,591,1512,902,5.501371587087029
B4,gradient_boosting,0.1,0.49495357287040775,16.14297786862367,0.6175782945156989,8904,15145,20.563791554357593,3.803235391218224,16.76055616313937,5.406920539769891,11.025371098251494,16.9811320754717,5.955760977220205,1831,576,1512,902,5.735185064887876
B5,logistic_regression,0.1,0.4876867178037949,14.57163338995876,-0.4128294708503635,8904,15145,18.912848158131176,4.75404423902278,14.158803919108397,3.9782650743735646,11.025371098251494,16.9811320754717,5.955760977220205,1684,720,1512,902,3.1334328208569033
B5,gradient_boosting,0.1,0.49495357287040775,14.27506253565044,-0.16315701735573995,8904,15145,18.87915543575921,4.767249917464509,14.1119055182947,3.9601774110051697,11.025371098251494,16.9811320754717,5.955760977220205,1681,722,1512,902,3.086534420043206
B6,logistic_regression,0.1,0.4925312878482035,16.738772874492366,-0.2298639358320287,8904,15145,20.4177897574124,3.9088808187520634,16.508908938660337,5.223436247905588,11.025371098251494,16.9811320754717,5.955760977220205,1818,592,1512,902,5.483537840408843
B6,gradient_boosting,0.1,0.4977795720629794,16.011538802655494,0.49934490698924705,8904,15145,20.406558849955076,3.8956751403103334,16.51088370964474,5.238259894619824,11.025371098251494,16.9811320754717,5.955760977220205,1817,590,1512,902,5.485512611393247
