block,model,K,level,constraint_strength,target_tpr_gap,overlap_at_k,gap_pp,ratio,D,tpr_white,tpr_bp,n_realised,n_target,zero_sum_value
B3,logistic_regression,0.1,0,0.0,0.2214625227983133,0.49132014533710133,14.547196804059709,4.138423014209178,3.521825705808217,0.5699138502319416,0.34845132743362833,2477,2477,2.020605904817785e-13
B3,logistic_regression,0.1,1,0.09999999999999998,0.19931627051848197,0.48526443278159065,12.567650922780894,3.3411694123679783,1.5422798245294018,0.559973492379059,0.3606194690265487,2477,2477,7.416289804496046e-14
B3,logistic_regression,0.1,2,0.19999999999999996,0.17717001823865064,0.4832458619297537,11.675963588871515,3.0490436680586224,0.6505924906200224,0.5513585155732273,0.375,2477,2477,-3.9968028886505635e-15
B3,logistic_regression,0.1,3,0.30000000000000004,0.1550237659588193,0.48041986273718207,10.819943748318517,2.7987711094213386,-0.2054273499329753,0.5407554671968191,0.3860619469026549,2477,2477,1.91402449445377e-13
B3,logistic_regression,0.1,4,0.4,0.13287751367898798,0.4788050060557126,10.356266334685643,2.67391305911221,-0.6691047635658496,0.5308151093439364,0.3971238938053097,2477,2477,2.020605904817785e-13
B3,logistic_regression,0.1,5,0.5,0.11073126139915665,0.4784012918853452,9.482412747454452,2.456502444829591,-1.54295835079704,0.5222001325381047,0.41150442477876104,2477,2477,2.446931546273845e-13
B3,logistic_regression,0.1,6,0.6,0.08858500911932532,0.47476786435203877,8.662060400257825,2.2711909376153563,-2.3633106979936667,0.5089463220675944,0.42035398230088494,2477,2477,2.020605904817785e-13
B3,logistic_regression,0.1,7,0.7,0.06643875683949399,0.4735567218409366,7.930876786452136,2.119414062728962,-3.094494311799356,0.49569251159708416,0.42920353982300885,2477,2477,-2.531308496145357e-14
B3,logistic_regression,0.1,8,0.8,0.04429250455966266,0.4719418651594671,7.342363146071948,2.0054257671542466,-3.683007952179544,0.48641484426772696,0.4424778761061947,2477,2477,5.995204332975845e-14
B3,logistic_regression,0.1,9,0.9,0.02214625227983133,0.4683084376261607,6.343673332093448,1.8268066490064996,-4.681697766158044,0.4685222001325381,0.4469026548672566,2477,2477,5.995204332975845e-14
B3,logistic_regression,0.1,10,1.0,0.0,0.46507872426322167,5.665990958322324,1.7150952755315967,-5.3593801399291685,0.4572564612326044,0.4579646017699115,2477,2477,1.1679546219056647e-13
B3,gradient_boosting,0.1,0,0.0,0.21282702017980615,0.4977795720629794,14.386693083956022,4.064507268024106,3.36132198570453,0.5745526838966203,0.36172566371681414,2477,2477,1.7363888105137448e-13
B3,gradient_boosting,0.1,1,0.09999999999999998,0.19154431816182554,0.49454985870004037,12.692487149528208,3.3849592789032843,1.6671160512767162,0.5646123260437376,0.372787610619469,2477,2477,4.574118861455645e-14
B3,gradient_boosting,0.1,2,0.20000000000000007,0.1702616161438449,0.4929350020185709,12.175308495860769,3.2083239182013332,1.1499373976092766,0.5553346587143804,0.38495575221238937,2477,2477,-3.952393967665557e-14
B3,gradient_boosting,0.1,3,0.29999999999999993,0.1489789141258643,0.49091643116673395,11.390623642020518,2.962582423872591,0.36525254376902616,0.5414181577203446,0.3926991150442478,2477,2477,2.589040093425865e-13
B3,gradient_boosting,0.1,4,0.4,0.12769621210788368,0.4901090028259992,10.748608761605766,2.7791003245302655,-0.27676233664572614,0.5314777998674619,0.40376106194690264,2477,2477,1.3633538742396922e-13
B3,gradient_boosting,0.1,5,0.5,0.10641351008990307,0.48930157448526446,10.088760134512826,2.6049818512310585,-0.9366109637386657,0.5235255135851558,0.4170353982300885,2477,2477,3.863576125695545e-14
B3,gradient_boosting,0.1,6,0.5999999999999999,0.08513080807192247,0.4876867178037949,9.054402827177949,2.3577121863129706,-1.9709682710735432,0.5129224652087475,0.4280973451327434,2477,2477,-5.3734794391857577e-14
B3,gradient_boosting,0.1,7,0.7,0.06384810605394184,0.4844570044408559,8.394554200085011,2.21428389073818,-2.630816898166481,0.5009940357852882,0.43694690265486724,2477,2477,3.1086244689504383e-15
B3,gradient_boosting,0.1,8,0.7999999999999999,0.042565404035961235,0.4775938635446104,7.788206813026636,2.0911414633051657,-3.237164285224856,0.49039098740888004,0.4480088495575221,2477,2477,3.1530333899354446e-14
B3,gradient_boosting,0.1,9,0.8999999999999999,0.02128270201798063,0.473960436011304,6.807350745726322,1.9075468929931791,-4.21802035252517,0.47647448641484424,0.4557522123893805,2477,2477,-5.3734794391857577e-14
B3,gradient_boosting,0.1,10,1.0,0.0,0.47234557932983445,6.218837105346134,1.8056825317405234,-4.806533992905358,0.4665341285619616,0.4668141592920354,2477,2477,5.995204332975845e-14
B4,logistic_regression,0.1,0,0.0,0.28093166663734404,0.4957610012111425,16.767837528627876,5.378429299501192,5.742466430376384,0.5984095427435387,0.3174778761061947,2477,2477,1.6564527527407336e-13
B4,logistic_regression,0.1,1,0.09999999999999998,0.25283849997360963,0.4901090028259992,14.502951700498059,4.106749695955348,3.477580602246567,0.584493041749503,0.33185840707964603,2477,2477,5.1958437552457326e-14
B4,logistic_regression,0.1,2,0.19999999999999996,0.22474533330987523,0.48687928946306014,13.57559687323231,3.7088592179855513,2.5502257749808184,0.5705765407554672,0.34513274336283184,2477,2477,8.038014698286133e-14
