task,variant,block,model,K,group_a,group_b,n_a,n_b,D_point,D_ci_lo,D_ci_hi,verdict,sign_reversal,ratio_point,ratio_ci_lo,ratio_ci_hi,gap_point_pp,bench_gap_point_pp
D1,K20_global,B1,gradient_boosting,0.2,White,Black_Pardo,8904,15145,-4.22653715491192,-5.630133366377194,-2.8942489003425123,attenuation,False,1.80619200538398,1.7141819792864617,1.8938352726610905,12.557325458572524,16.783862613484445
D1,K20_local,B2,logistic_regression,0.2,White,Black_Pardo,8904,15145,-1.854709654531499,-3.2625386463348995,-0.4345941092944867,inconclusive,False,2.024319210759545,1.9231736402064956,2.1362481464177585,14.940383866410267,16.795093520941766
D1,K20_global,B2,logistic_regression,0.2,White,Black_Pardo,8904,15145,-1.7866456835199251,-3.1941917521164838,-0.363553743878057,inconclusive,False,2.025893633262478,1.9256484901135396,2.136869581973843,14.99721692996452,16.783862613484445
D1,K20_local,B2,gradient_boosting,0.2,White,Black_Pardo,8904,15145,-2.50993021338798,-3.8476207606197894,-1.1443721288698576,attenuation,False,1.9628339932928442,1.8682955783269026,2.0604053847282033,14.285163307553786,16.795093520941766
D1,K20_global,B2,gradient_boosting,0.2,White,Black_Pardo,8904,15145,-2.65463576561641,-3.9749284173326602,-1.2594206698233326,attenuation,False,1.9552997348703633,1.8623580904696724,2.05453353325168,14.129226847868035,16.783862613484445
D1,K20_local,B3,logistic_regression,0.2,White,Black_Pardo,8904,15145,5.130812448813909,3.953391344733763,6.3291749313390735,amplification,False,2.8336159354607937,2.6859320887599676,2.9820805655750013,21.925905969755675,16.795093520941766
D1,K20_global,B3,logistic_regression,0.2,White,Black_Pardo,8904,15145,5.350863337542425,4.1889893836964385,6.550802744775942,amplification,False,2.8348682240191674,2.6911948710096243,2.983226943990161,22.13472595102687,16.783862613484445
D1,K20_local,B3,gradient_boosting,0.2,White,Black_Pardo,8904,15145,5.204800732778711,4.138773248979542,6.324796583015879,amplification,False,2.8408198810640695,2.703688480464501,2.9894685153622453,21.999894253720477,16.795093520941766
D1,K20_global,B3,gradient_boosting,0.2,White,Black_Pardo,8904,15145,5.273543230057932,4.1953656210984684,6.409828215688002,amplification,False,2.8354912719804903,2.6972074391033574,2.98301073446362,22.057405843542377,16.783862613484445
D1,K20_local,B4,logistic_regression,0.2,White,Black_Pardo,8904,15145,9.716120923911028,8.548717147834484,10.88284875063663,amplification,False,3.559033414705517,3.36528543595525,3.7463285557400443,26.511214444852794,16.795093520941766
